,scraped_bday,home_town,scraped_dday,living_status,summary,wiki_page,image
Redd Foxx,1922-12-9,"St. Louis, Missouri, U.S.",1991-10-11,Deceased,"John Elroy Sanford[1] (December 9, 1922 – October 11, 1991), better known by his stage name Redd Foxx, was an American stand-up comedian and actor best known for his portrayal of Fred G. Sanford on the hit television show Sanford and Son.[3] Foxx gained success with his raunchy nightclub acts during the 1950s and 1960s. Known as the ""King of the Party Records"", he performed on more than 50 records in his lifetime.",https://en.wikipedia.org/wiki/Redd_Foxx,https://upload.wikimedia.org/wikipedia/commons/7/7d/Redd_Foxx_1966.JPG
Pablo Francisco,1974-01-04,"Tucson, Arizona, U.S.",,Alive,"Pablo Ridson Francisco (born January 4, 1974) is an American comedian, actor and writer.[1] He started his career doing improv in Tempe, Arizona.In the 1990s, he appeared on MADtv as a featured player. His stand-up act was introduced to America at large when he landed his own half-hour comedy special on Comedy Central Presents in 2000.",https://en.wikipedia.org/wiki/Pablo_Francisco,No Image
Judah Friedlander,1969-3-16,"Gaithersburg, Maryland, U.S.",,Alive,"Judah Friedlander (born March 16, 1969)[1][2] is an American actor and comedian, known for playing the role of writer Frank Rossitano on the NBC sitcom 30 Rock.[3][4][5] Friedlander is also known for his role as Toby Radloff in the film American Splendor,[1][4][6] a role that garnered him favorable reviews and a nomination for best supporting actor at the 2004 Independent Spirit Awards.[6][7][8][9][10][11] Earlier in his career, he was recognized as ""the hug guy"" from the music video for the 2001 Dave Matthews Band single ""Everyday"".[5][6][12]Friedlander is known for his distinctive look, which includes oversized glasses, shaggy hair, a T-shirt and trucker hat (both often emblazoned with slogans such as ""world champion""), and a generally unkempt appearance.",https://en.wikipedia.org/wiki/Judah_Friedlander,https://upload.wikimedia.org/wikipedia/commons/e/e6/Judah_Friedlander.jpg
Ron Funches,1983-3-12,"Los Angeles, California, U.S.",,Alive,"Ronald Kyle Funches (born March 12, 1983) is an American comedian, actor, voice actor and writer. Born in California, Funches spent his early life in Chicago before relocating to Salem, Oregon, as a teenager. He began his comedy career in Portland, Oregon, at age 23. After moving to Los Angeles in 2012, he began appearing as a guest on several comedy series, including @midnight, Mulaney, and the Kroll Show.",https://en.wikipedia.org/wiki/Ron_Funches,https://upload.wikimedia.org/wikipedia/commons/5/54/Ron_Funches_in_Hawaii_2014_crop.jpg
Jim Gaffigan,1966-7-7,"Elgin, Illinois, U.S.",,Alive,"James Christopher Gaffigan (born July 7, 1966) is an American stand-up comedian, actor, writer and producer. He was raised in Chesterton, Indiana. His material is often about fatherhood, observations, laziness, and food. He is also regarded as a ""clean"" comic, using little profanity in his routines.",https://en.wikipedia.org/wiki/Jim_Gaffigan,https://upload.wikimedia.org/wikipedia/commons/c/c5/Jim_Gaffigan_making_a_goofy_excited_face%2C_Jan_2014%2C_NYC_%28cropped%29.jpg
Zach Galifianakis,1969-10-1,"Wilkesboro, North Carolina, U.S.",,Alive,"Zachary Knight Galifianakis (/ˌɡælɪfəˈnækɪs/; born October 1, 1969)[1] is an American actor, comedian, and writer who came to prominence with his Comedy Central Presents special in 2001 and presented his own show called Late World with Zach on VH1 the following year. He has also starred in films, such as The Hangover trilogy (2009–2013), Due Date (2010), Puss in Boots (2011), The Campaign (2012), Birdman or (The Unexpected Virtue of Ignorance) (2014), Masterminds (2016), and The Lego Batman Movie (2017).Galifianakis is the host of the Emmy Award-winning talk show Between Two Ferns with Zach Galifianakis on the Funny or Die website. He starred in the FX series Baskets for which he was nominated for the Primetime Emmy Award for Outstanding Lead Actor in a Comedy Series in 2017.",https://en.wikipedia.org/wiki/Zach_Galifianakis,https://upload.wikimedia.org/wikipedia/commons/e/e7/Zach_Galifianakis_2012_%28cropped%29.jpg
Gallagher,1946-7-24,"Fort Bragg, North Carolina",,Alive,"Leo Anthony Gallagher Jr. (born July 24, 1946), known as Gallagher, is an American comedian known for smashing watermelons as part of his prop comedy act.Gallagher was born on Fort Bragg, North Carolina, to a family of Irish and Croatian heritage.[1] Until the age of nine, he lived in Lorain, Ohio, but because of his asthma, the family moved to South Tampa, Florida, where he attended H.",https://en.wikipedia.org/wiki/Gallagher_(comedian),https://upload.wikimedia.org/wikipedia/commons/1/1d/GallagherRetouched.jpg
Billy Gardell,1969-8-20,"Swissvale, Pennsylvania, U.S.",,Alive,"William Gardell Jr. (born August 20, 1969) is an American stand-up comedian, actor, game show host and voice artist. Gardell played Chicago police officer Mike Biggs on Mike & Molly. He also had a recurring role as Billy Colivida on Yes, Dear and appeared in a dozen episodes of My Name Is Earl as a police officer.",https://en.wikipedia.org/wiki/Billy_Gardell,No Image
Jeff Garlin,1962-6-5,"Chicago, Illinois, U.S.",,Alive,"Jeffrey Todd Garlin (born June 5, 1962) is an American comedian and actor. He plays Jeff Greene on the HBO show Curb Your Enthusiasm, Mort Meyers on Arrested Development for Fox and Netflix and Murray Goldberg, the patriarch of the eponymous family in the ABC sitcom The Goldbergs.He has also appeared in ParaNorman, Wall-E, Toy Story 3 and Safety Not Guaranteed, among other films and has hosted his own podcast on Earwolf since 2013.Garlin was born in Chicago, Illinois, to Gene[3] and Carole (née Crafton) Garlin.",https://en.wikipedia.org/wiki/Jeff_Garlin,https://upload.wikimedia.org/wikipedia/commons/0/02/Garlin.jpg
Janeane Garofalo,1964-9-28,"Newton, New Jersey, U.S.",,Alive,"Janeane Marie Garofalo (/dʒəˈniːn ɡəˈrɒfəloʊ/; born September 28, 1964) is an American actress, voice artist, stand-up comedian, and writer. Garofalo began her career as a stand-up comedian and became a cast member on The Ben Stiller Show, The Larry Sanders Show, and Saturday Night Live, then appeared in more than 50 movies, with leading or major roles in  The Truth About Cats and Dogs, Wet Hot American Summer, The Matchmaker, Reality Bites, Steal This Movie!, Clay Pigeons, Sweethearts, Mystery Men, and The Independent, among numerous others.  She has been a series regular on television programs such as Wet Hot American Summer: First Day of Camp, 24, and Girlfriends' Guide to Divorce.[1]Garofalo is an outspoken progressive activist.",https://en.wikipedia.org/wiki/Janeane_Garofalo,https://upload.wikimedia.org/wikipedia/commons/6/61/Janeane_Garofalo.png
Teri Garr,1944-12-11,"Lakewood, Ohio, U.S.",,Alive,"Teri Ann Garr (born December 11, 1944)[1][a] is a retired American actress, dancer and singer. She frequently appeared in comedic roles throughout her career,[3] which spans four decades and includes over 140 credits in film and television.[4] Her accolades include one Academy Award nomination, a BAFTA Award nomination, and one National Board of Review Award.Born in Lakewood, Ohio, Garr was raised in North Hollywood.",https://en.wikipedia.org/wiki/Teri_Garr,https://upload.wikimedia.org/wikipedia/commons/a/aa/Teri_Garr_in_1978.jpg
Brad Garrett,1960-4-14,"Woodland Hills, Los Angeles, California, U.S.",,Alive,"Brad H. Gerstenfeld[1] (born April 14, 1960), known professionally as Brad Garrett, is an American stand-up comedian, actor, voice actor, and professional poker player. He has appeared in numerous television and film roles.Garrett was initially successful as a stand-up comedian in the early 1980s.",https://en.wikipedia.org/wiki/Brad_Garrett,https://upload.wikimedia.org/wikipedia/commons/2/25/BradGarrettApr2011.jpg
Chris Gethard,1980-5-23,"West Orange, New Jersey",,Alive,"Christopher Paul Gethard (/ˈɡɛθərd/; born May 23, 1980) is an American actor, comedian and writer. He was the host of The Chris Gethard Show, a talk show based in New York City that began airing in 2011 and was cancelled in 2018. He also hosts the podcast Beautiful Stories From Anonymous People.Gethard grew up in West Orange, New Jersey, the son of Sally and Ken Gethard,[2][3] and attended West Orange High School.",https://en.wikipedia.org/wiki/Chris_Gethard,https://upload.wikimedia.org/wikipedia/commons/5/5b/Chris_Gethard_2016.jpg
Greg Giraldo,1965-12-10,"The Bronx, New York City, New York (state)|New York, U.S.",2010-09-29,Deceased,"Gregory C. Giraldo (December 10, 1965 – September 29, 2010) was an American stand-up comedian, television personality, and lawyer. He is remembered for his appearances on Comedy Central's televised roast specials, and for his work on that network's television shows Tough Crowd with Colin Quinn, Lewis Black's Root of All Evil, and the programming block Stand-Up Nation, the last of which he hosted.Giraldo was born in the Bronx[2] and raised in Bayside, Queens.",https://en.wikipedia.org/wiki/Greg_Giraldo,https://upload.wikimedia.org/wikipedia/commons/f/fc/Giraldo.png
Nikki Glaser,1984-06-01 00:00:00,"Cincinnati, Ohio, U.S.",,Alive,"Nicole Renee Glaser (born June 1, 1984) is an American stand-up comedian, actress, podcast host, radio host and television host. She was the host of the television series Not Safe with Nikki Glaser, which premiered on Comedy Central and Much on February 9, 2016.Glaser was born on June 1, 1984, in Cincinnati, Ohio, the daughter of Julie E. (née Burke) and Edward J.",https://en.wikipedia.org/wiki/Nikki_Glaser,https://upload.wikimedia.org/wikipedia/commons/b/b1/Nikki_Glaser.jpg
Todd Glass,1964-12-16,"Philadelphia, Pennsylvania, United States|U.S.",,Alive,"Todd Steven Glass (born December 16, 1964)[1][2] is an American stand-up comedian originally from Philadelphia, Pennsylvania.Glass was born and raised in the suburbs of Philadelphia, Pennsylvania. He first began performing stand-up comedy in Philadelphia in 1982 while attending Conestoga High School.[3][4] He made his earliest television appearances in the late 80s on A&E's An Evening at the Improv and in the early 1990s on several Comedy Central stand-up programs.",https://en.wikipedia.org/wiki/Todd_Glass,https://upload.wikimedia.org/wikipedia/commons/b/b4/Todd_Glass_2014_Maui_Comedy_Festival_%28cropped%29.jpg
Ben Gleib,1978-06-18,"Los Angeles, California, U.S.",,Alive,"Benjamin Nathan Gleiberman (born June 18, 1978), known professionally as Ben Gleib, is an American actor, comedian, satirist, and writer.Ben Gleib attended University of California, San Diego, where he studied communications and theater. He graduated in the Honors Thesis Program.Gleib was a one time roundtable guest on the E! late night talk show Chelsea Lately and has been appearing on the show since January 2008.",https://en.wikipedia.org/wiki/Ben_Gleib,https://upload.wikimedia.org/wikipedia/commons/7/76/Ben_Gleib_standup_Morty%27s_Comedy_Joint_Indianapolis_Indiana_10_February_2013.jpg
Donald Glover,1983-9-25,"Edwards Air Force Base|Edwards Air Force Base, California, U.S.",,Alive,"Donald McKinley Glover Jr. (born September 25, 1983) is an American actor, comedian, writer, producer, director, musician, and DJ. He performs music under the stage name Childish Gambino and as a DJ under the name mcDJ.After working on Derrick Comedy while studying at New York University, Glover was hired at age 23 by Tina Fey as a writer for the NBC sitcom 30 Rock.",https://en.wikipedia.org/wiki/Donald_Glover,https://upload.wikimedia.org/wikipedia/commons/2/2a/Donald_Glover_TIFF_2015.jpg
George Gobel,1919-5-20,"Chicago, Illinois, U.S.",1991-2-24,Deceased,"George Leslie Goebel (May 20, 1919 – February 24, 1991) was an American humorist, actor, and comedian.[1] He was best known as the star of his own weekly comedy variety television series, The George Gobel Show, broadcasting from 1954 to 1959 on NBC, and on CBS from 1959 to 1960,[2] (alternating in its final season with The Jack Benny Program). He was also a familiar panelist on the NBC game show Hollywood Squares. He was born George Leslie Goebel in Chicago, Illinois, on May 20, 1919.",https://en.wikipedia.org/wiki/George_Gobel,https://upload.wikimedia.org/wikipedia/en/9/99/George_Gobel_photo.jpg
Elon Gold,1970-09-14,"The Bronx, New York City",,Alive,"Elon Gold (born September 14, 1970) is an American comedian, television actor, writer and producer.Elon Gold was born to Lynn and Sidney Gold, of Goldstar Talent, on September 14, 1970.[citation needed] He was raised in the Pelham Parkway section of the Bronx, in New York.[citation needed] His older brother, Steven is involved in the music production industry.",https://en.wikipedia.org/wiki/Elon_Gold,No Image
Judy Gold,1962-11-15,"Newark, New Jersey, U.S.",,Alive,"Judy Gold (born November 15, 1962) is an American standup comedian, actress, television writer, and producer. She won two Daytime Emmy Awards for her work as a writer and producer on The Rosie O'Donnell Show.[2] She has also been involved in many projects in various roles, including the television series All-American Girl and HBO at the Multiplex segments where she asks humorous questions of unexpecting moviegoers.She was born on November 15, 1962 in Newark, New Jersey.",https://en.wikipedia.org/wiki/Judy_Gold,https://upload.wikimedia.org/wikipedia/commons/2/29/Judy_Gold_%287096329187%29.jpg
Whoopi Goldberg,1955-11-13,"New York City, U.S.",,Alive,"Caryn Elaine Johnson (born November 13, 1955),[1][2][3] known professionally as Whoopi Goldberg (/ˈwʊpi/), is an American actor,[4] comedian, author, and television personality. A recipient of many awards and honors, she is one of fifteen entertainers to have won an Emmy Award, a Grammy Award, an Academy Award, and a Tony Award.Goldberg's breakthrough came in 1985 for her role as Celie, a mistreated woman in the Deep South, in Steven Spielberg's period drama film The Color Purple, for which she was nominated for the Academy Award for Best Actress and won her first Golden Globe Award. For her performance in the romantic fantasy film Ghost (1990) as an eccentric psychic, Goldberg won the Academy Award for Best Supporting Actress, making her the second black woman to win an Academy Award for acting,[5] and a second Golden Globe, her first for Best Supporting Actress.",https://en.wikipedia.org/wiki/Whoopi_Goldberg,https://upload.wikimedia.org/wikipedia/commons/8/8b/US_Navy_100527-N-1831S-236_Whoopi_Goldberg%2C_Elisabeth_Hasselbeck_and_Sherri_Shephard_hosts_of_the_ABC_talk_show%2C_The_View%2C_pose_with_Sailors%2C_Marines%2C_and_Coast_Guardsmen_attending_a_live_taping_of_the_show_%28cropped%29.jpg
